[2025-06-02 09:32:33] User: 6507934269 | Action: CHECK_STATS | Details: 
[2025-06-02 09:50:34] User: 6507934269 | Action: CHECK_STATS | Details: 
[2025-06-02 11:00:53] User: 2079449654 | Action: START_BOT | Details: 
[2025-06-02 11:13:03] User: 2079449654 | Action: CHECK_STATS | Details: 
[2025-06-02 11:13:29] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 2079449654 - 5 messages
[2025-06-02 20:08:03] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:08:03] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:08:15] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-02 20:16:37] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:16:37] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:20:30] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:20:30] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:27:52] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:27:52] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:29:37] User: 7073749415 | Action: MONITOR_USERS | Details: 
[2025-06-02 20:32:03] User: 2079449654 | Action: CHECK_STATS | Details: 
[2025-06-02 20:32:13] User: 7073749415 | Action: SECURITY_SCAN | Details: Alerts: 0, Warnings: 0
[2025-06-02 20:32:45] User: 7073749415 | Action: USER_PROFILE | Details: 2079449654
[2025-06-02 20:36:47] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:36:47] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:37:56] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:37:56] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:41:35] User: 7073749415 | Action: QUANTUM_ADMIN_ACCESS | Details: 
[2025-06-02 20:47:10] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:47:10] User: SYSTEM | Action: BOT_START | Details: 
